office,district,votefor,candidate,party,votes,type,winner
US SENATOR, ,1,FOLASADE ADELUOLA,INDEPENDENT,1977,Registered,False
US SENATOR, ,1,RUSSELL BESTE,INDEPENDENT,2759,Registered,False
US SENATOR, ,1,BRUCE BUSA,INDEPENDENT,913,Registered,False
US SENATOR, ,1,EDWARD S. GILBERT JR,INDEPENDENT,2242,Registered,False
US SENATOR, ,1,REID KANE,LIBERTY UNION,1167,Registered,False
US SENATOR, ,1,BRAD J. PEACOCK,INDEPENDENT,3782,Registered,False
US SENATOR, ,1,BERNIE SANDERS,INDEPENDENT,183453,Registered,False
US SENATOR, ,1,JON SVITAVSKY,INDEPENDENT,1287,Registered,False
US SENATOR, ,1,LAWRENCE ZUPAN,REPUBLICAN,74649,Registered,False
US SENATOR, ,1,DANA MAXFIELD, ,1,Write-in,False
US SENATOR, ,1,BRIAN WESTCOM, ,1,Write-in,False
US SENATOR, ,1,, ,8,Registered,False
US SENATOR, ,1,D RACINE, ,4,Write-in,False
US SENATOR, ,1,BEVERLY GROUT, ,1,Write-in,False
US SENATOR, ,1,DEWEY COHEN, ,1,Write-in,False
US SENATOR, ,1,ED ROUSSE, ,1,Write-in,False
US SENATOR, ,1,JEFF NEWTON, ,1,Write-in,False
US SENATOR, ,1,WANDA MILLER, ,1,Write-in,False
US SENATOR, ,1,KENNETH ADAMS, ,0,Write-in,False
US SENATOR, ,1,ERIC POSTEL, ,1,Write-in,False
US SENATOR, ,1,GARY PRINTZ, ,1,Write-in,False
US SENATOR, ,1,JASON CAVAGNARO, ,1,Write-in,False
US SENATOR, ,1,TJ WRIGHT, ,1,Write-in,False
US SENATOR, ,1,DAVID PROVOST, ,1,Write-in,False
US SENATOR, ,1,H BROOKE PAIGE, ,1,Write-in,False
US SENATOR, ,1,SHAWN MCCARTHY, ,0,Write-in,False
US SENATOR, ,1,WAYNE TOWNSEND, ,0,Write-in,False
US SENATOR, ,1,BROOK PAIGE, ,2,Write-in,False
US SENATOR, ,1,DWAYNE TUCKER, ,0,Write-in,False
US SENATOR, ,1,DOUG RACINE, ,1,Write-in,False
US SENATOR, ,1,BRIAN DUBOIS, ,1,Write-in,False
US SENATOR, ,1,ELEANOR CAPELES, ,1,Write-in,False
US SENATOR, ,1,MARK CAPELESS, ,1,Write-in,False
US SENATOR, ,1,MARK MCDERMOTT, ,1,Write-in,False
US SENATOR, ,1,MARY GOLEK, ,1,Write-in,False
US SENATOR, ,1,ROBERT MACK, ,1,Write-in,False
US SENATOR, ,1,BILL HUFF, ,1,Write-in,False
US SENATOR, ,1,ANYA TYNIO, ,1,Write-in,False
US SENATOR, ,1,BERNIE SANDERS, ,1,Write-in,False
US SENATOR, ,1,DAVE MERRILL, ,1,Write-in,False
US SENATOR, ,1,WILLIE CLARK, ,1,Write-in,False
US SENATOR, ,1,SHAP SMITH, ,2,Write-in,False
US SENATOR, ,1,TRUMP, ,2,Write-in,False
US SENATOR, ,1,BILLY BURNS, ,1,Write-in,False
US SENATOR, ,1,RON PAUL, ,1,Write-in,False
