year,office,district,votefor,candidate,party,candidateid,votes,type,winner
2016,US PRESIDENT AND VICE PRESIDENT, ,1,GARY JOHNSON and WILLIAM F. WELD,LIBERTARIAN,3975,10070,Registered,FALSE
2016,US PRESIDENT AND VICE PRESIDENT, ,1,ROCKY DE LA FUENTE and MICHAEL A. STEINBERG,INDEPENDENT,4047,1067,Registered,FALSE
2016,US PRESIDENT AND VICE PRESIDENT, ,1,JILL STEIN and AJUMA BARAKA,GREEN ,4037,6755,Registered,FALSE
2016,US PRESIDENT AND VICE PRESIDENT, ,1,DONALD J. TRUMP and MICHAEL R. PENCE,REPUBLICAN,18335,95363,Registered,FALSE
2016,US PRESIDENT AND VICE PRESIDENT, ,1,HILLARY CLINTON and TIM KAINE,DEMOCRATIC,18334,178496,Registered,FALSE
2016,US PRESIDENT AND VICE PRESIDENT, ,1,GLORIA LARIVA and EUGENE PURYEAR,LIBERTY UNION,3693,330,Registered,FALSE
2016,US PRESIDENT AND VICE PRESIDENT, ,1,Write-in, , ,22097, ,
2016,US PRESIDENT AND VICE PRESIDENT, ,1,Spoiled, , ,697, ,
2016,US PRESIDENT AND VICE PRESIDENT, ,1,Blank, , ,4311, ,
2016,US SENATOR, ,1,CRIS ERICSON,UNITED STATES MARIJUANA,3587,9152,Registered,FALSE
2016,US SENATOR, ,1,JERRY TRUDELL,INDEPENDENT,4053,5220,Registered,FALSE
2016,US SENATOR, ,1,SCOTT MILNE,REPUBLICAN,3932,103613,Registered,FALSE
2016,US SENATOR, ,1,PATRICK LEAHY,DEMOCRATIC,3712,192167,Registered,FALSE
2016,US SENATOR, ,1,PETE DIAMONDSTONE,LIBERTY UNION,3688,3240,Registered,FALSE
2016,US SENATOR, ,1,Write-in, , ,299, ,
2016,US SENATOR, ,1,Spoiled, , ,409, ,
2016,US SENATOR, ,1,Blank, , ,5807, ,
2016,REPRESENTATIVE TO CONGRESS, ,1,ERICA CLAWSON,LIBERTY UNION,3687,29406,Registered,FALSE
2016,REPRESENTATIVE TO CONGRESS, ,1,PETER WELCH,DEM/REP,3806,264299,Registered,FALSE
2016,REPRESENTATIVE TO CONGRESS, ,1,Write-in, , ,1499, ,
2016,REPRESENTATIVE TO CONGRESS, ,1,Spoiled, , ,445, ,
2016,REPRESENTATIVE TO CONGRESS, ,1,Blank, , ,22902, ,
2016,GOVERNOR, ,1,SUE MINTER,DEMOCRATIC,3823,139188,Registered,FALSE
2016,GOVERNOR, ,1,PHIL SCOTT,REPUBLICAN,3630,166771,Registered,FALSE
2016,GOVERNOR, ,1,"BILL ""SPACEMAN"" LEE",LIBERTY UNION,3680,8978,Registered,FALSE
2016,GOVERNOR, ,1,Write-in, , ,318, ,
2016,GOVERNOR, ,1,Spoiled, , ,150, ,
2016,GOVERNOR, ,1,Blank, , ,4581, ,
